date,max,min,average
2020-06-28,89.95979423707055,65.33923215135192,67.38657566422695
2020-06-29,88.93807439733082,64.86260640545169,67.24152575627582
2020-06-30,88.06171249435269,64.46803687877454,67.11526157031719
2020-07-01,87.18710949325634,64.05187020693707,66.94700568559122
2020-07-02,86.37265925046015,63.42179301878869,66.71210515846154
2020-07-03,85.5232417538087,62.91340537774303,66.50987635571758
2020-07-04,84.70221487989282,62.58316835922327,66.4141929164213
2020-07-05,83.99019746110865,61.98836759025485,66.19678611518248
2020-07-06,82.86765712703878,61.39564776218589,65.69752545905389
2020-07-07,82.0416870096847,60.91074191412506,70.46648987778858
2020-07-08,81.17177383286571,60.38651083025342,65.22790723336192
2020-07-09,80.34766070261442,59.73728733366071,64.92231460125237
2020-07-10,79.68112749671461,59.284049711650994,64.70576659807661
2020-07-11,78.94025182189077,58.922413966406175,64.58769013270211
2020-07-12,78.3370605745146,58.640650740655744,64.48812799117624
2020-07-13,77.72816438311587,58.335148139226504,64.34630548346053
2020-07-14,77.17216103888613,57.81363347266339,64.13757236916412
2020-07-15,76.57412889233022,57.41174671351625,63.96124769112286
2020-07-16,75.9976187628334,57.1859880884562,63.8912077375196
2020-07-17,75.52343715380732,56.69368163226088,63.69918640543038
2020-07-18,74.63223423811209,56.201509714654215,63.225055797987864
2020-07-19,74.03128070339406,55.81524233759535,68.01889741490396
2020-07-20,73.38023597776194,55.387776546178515,62.804941662254905
2020-07-21,72.7690111527357,54.83348073579938,62.52372813402209
2020-07-22,72.30954950171659,54.47336809053769,62.33131393998468
2020-07-23,71.77008756258569,54.2030888466491,62.237128457087294
2020-07-24,71.36280682039288,54.01094723082012,62.161216914621455
2020-07-25,70.94446826851738,53.79336429406354,62.04280704120963
2020-07-26,70.57381595457909,53.35809966745097,61.85725099078617
2020-07-27,70.15607048934478,53.04082503028095,61.70387017642118
