date,max,min,average
2020-06-28,80.18580905255138,61.00203641795243,71.10960693281437
2020-06-29,79.72070132467688,60.765946101244346,70.74495851118166
2020-06-30,79.32671964854428,60.53822149240948,70.26965676683153
2020-07-01,78.74494603865193,60.481383606192395,69.82305144455465
2020-07-02,78.03830803450293,59.87700255508586,69.09129071509166
2020-07-03,77.52507597312994,59.55673026286654,68.61849373748643
2020-07-04,77.11876735933885,59.34400912190057,68.34533477587979
2020-07-05,76.73535894812956,59.25932507119127,67.82825217833985
2020-07-06,76.35242029048177,59.10477306006472,67.54898257041697
2020-07-07,75.75212423336956,58.77112245230453,67.01225244787436
2020-07-08,75.21829223932751,58.20907550724611,66.35415623904869
2020-07-09,74.94773231168931,57.94082060648738,66.07778821522537
2020-07-10,74.3523098002336,57.70293767074279,65.52847300031402
2020-07-11,74.02302157966332,57.505614159856385,65.28023728350857
2020-07-12,73.76169716845408,57.316200818725434,64.91892007831021
2020-07-13,73.30949220658759,57.29722401499818,64.5839217768041
2020-07-14,72.72940614485161,56.73025915117052,63.9614401406114
2020-07-15,72.33977955727592,56.44696337886089,63.59564288527719
2020-07-16,72.0541985503578,56.270784256846284,63.427251818639824
2020-07-17,71.78870688355725,56.22221282983177,63.01275184078637
2020-07-18,71.52093955227049,56.10334909284951,62.83392515829246
2020-07-19,71.03313332416666,55.80496739609843,62.3955428972059
2020-07-20,70.60917209423009,55.277774926735276,61.83374318523823
2020-07-21,70.44592484464944,55.04396493627386,61.6516630815571
2020-07-22,69.95531648430705,54.840122158119456,61.1946691054739
2020-07-23,69.7284020603138,54.67643880825432,61.036828967719394
2020-07-24,69.56706790914365,54.52027033182585,60.764021847694025
2020-07-25,69.21252516590127,54.53414774150104,60.51568746559171
2020-07-26,68.72782748442204,53.99965103021223,59.97806209082671
2020-07-27,68.43136837979111,53.748441886073344,59.6953511435319
