date,max,min,average
2020-06-28,96.87322950632337,96.87322950632337,86.444213837127
2020-06-29,95.39306050013357,95.39306050013357,85.62508051080594
2020-06-30,94.07490870648873,94.07490870648873,84.86946951258406
2020-07-01,92.8448415606818,92.8448415606818,84.10938953040748
2020-07-02,91.6629782838547,91.6629782838547,83.35974500459932
2020-07-03,90.4929789849094,90.4929789849094,82.41803414508287
2020-07-04,89.43164238795488,89.43164238795488,81.70254365181948
2020-07-05,88.75110338719796,88.75110338719796,81.09371773618504
2020-07-06,88.38556241347155,88.38556241347155,80.6084725912289
2020-07-07,87.39595751620138,87.39595751620138,80.00759536676486
2020-07-08,86.26248753711269,86.26248753711269,79.22856317039579
2020-07-09,85.62647964568413,85.62647964568413,78.7214098626022
2020-07-10,85.07403753056514,85.07403753056514,78.23197906232238
2020-07-11,84.39156950666596,84.39156950666596,77.80341723339934
2020-07-12,83.81718899754479,83.81718899754479,77.41980226575521
2020-07-13,83.28060943162454,83.28060943162454,77.01402629113551
2020-07-14,82.7453495306794,82.7453495306794,76.6018351773325
2020-07-15,82.17823907621826,82.17823907621826,75.98152854369306
2020-07-16,81.67903217477857,81.67903217477857,75.57215638480297
2020-07-17,81.52261930020666,81.52261930020666,75.25488990459219
2020-07-18,81.64577016813449,81.64577016813449,75.04733771310968
2020-07-19,81.11181841267152,81.11181841267152,74.71094644601783
2020-07-20,80.40319650335198,80.40319650335198,74.18382133181288
2020-07-21,80.16331422991156,80.16331422991156,73.91659447862178
2020-07-22,79.98021710278256,79.98021710278256,73.655679300545
2020-07-23,79.64212397906323,79.64212397906323,73.44476495729583
2020-07-24,79.38883642024649,79.38883642024649,73.2684462242087
2020-07-25,79.15164186374875,79.15164186374875,73.06010753552162
2020-07-26,78.895526627244,78.895526627244,72.83596364775609
2020-07-27,78.58868886925436,78.58868886925436,72.39476076877645
