date,max,min,average
2020/7/1,84.2,64.4,74.3
2020/7/2,86,66.2,76.1
2020/7/3,86,68,77
2020/7/4,80.6,66.2,73.4
2020/7/5,75.2,66.2,70.7
2020/7/6,78.8,64.4,71.6
2020/7/7,77,60.8,68.9
2020/7/8,84.2,68,76.1
