date,max,min,average
2020-06-28,93.4663257379462,56.79230058504383,81.49511432684166
2020-06-29,92.55965727178992,56.298981451396216,80.91020036817612
2020-06-30,91.8754606098116,55.92215766128483,80.33881233998886
2020-07-01,90.97122979042051,55.99723079279673,79.86690995219409
2020-07-02,89.9077653187173,55.44930507067309,79.06403950217613
2020-07-03,89.1999143446294,55.058817091631965,78.53426833064455
2020-07-04,88.63512507362292,54.790442975229425,78.00071449404717
2020-07-05,88.13633204705542,54.5698041745585,77.58218533071556
2020-07-06,87.21188023124691,54.3881856412856,77.04939201700566
2020-07-07,86.32826194572809,54.3783692214937,76.60331457311051
2020-07-08,85.37235133092695,53.95777628567727,75.85213149216989
2020-07-09,84.69320953851012,53.79541619954382,75.36459987969509
2020-07-10,84.08444005794144,53.72462171867488,74.89249109210914
2020-07-11,83.45462006636382,53.275260873543644,74.43562235329622
2020-07-12,83.03910240424545,52.941765471879734,73.98979635339602
2020-07-13,82.39562218164062,53.059546117919986,73.64102095906266
2020-07-14,81.58521386155263,52.553715933215244,72.95888969051273
2020-07-15,81.12295164798748,52.204720283806374,72.5475161954918
2020-07-16,80.79650410038951,51.977243932912295,72.1300639394475
2020-07-17,80.52901961170636,51.79691685342964,71.82538478909062
2020-07-18,79.82905068933773,51.65503239474383,71.40423358561387
2020-07-19,79.16329106959951,51.68438068032189,71.06763316725123
2020-07-20,78.41881036613105,51.30239123943149,70.42380401480963
2020-07-21,77.94485943562451,51.17808147964238,70.04154440719711
2020-07-22,77.5352258745958,51.144792083162386,69.67266607575444
2020-07-23,77.09866553445609,50.7323988935065,69.31702583628939
2020-07-24,76.8707046574732,50.435341419489205,68.97046520305575
2020-07-25,76.40924663861658,50.58903785607953,68.71903011390255
2020-07-26,75.77548925991378,50.11860880678913,68.13235142192337
2020-07-27,75.48466522504164,49.80450701240701,67.81457938374122
