date,max,min,average
2020-06-26,91.97086953432584,74.36990293230309,79.48935075198959
2020-06-27,90.69628618823464,73.81161470213705,78.94717414873823
2020-06-28,89.30259295760477,73.35177109613433,78.36310990503371
2020-06-29,88.41164210430395,72.80725497566681,77.91618233059914
2020-06-30,87.2694799387498,72.34859937067873,77.35788834322476
2020-07-01,86.20711185872166,71.86407841614403,76.83024224633229
2020-07-02,85.51443737357216,71.49947386576625,76.50804445798167
2020-07-03,84.64600782014091,71.02886327102576,76.0130971327938
2020-07-04,84.12828943624926,70.64657342576615,75.71024817467399
2020-07-05,83.75390764264657,70.41425556020522,75.46684633527684
2020-07-06,83.11855904198174,70.15404478118636,75.12118793114453
2020-07-07,82.62381275576507,69.88484302893244,74.8933291657367
2020-07-08,82.33956476003594,69.47742254136247,74.58574021613634
2020-07-09,81.88912037933892,69.1520815581694,74.32885889707802
2020-07-10,81.24904555118906,68.91409380673001,74.01349127040328
2020-07-11,81.04722689573896,68.58087024646066,73.81962736720139
2020-07-12,80.53522872903591,68.32344686084745,73.49967364032481
2020-07-13,80.04910228549852,68.03057679111704,73.19650101090974
2020-07-14,79.88336114505131,67.84849799014647,73.08571667614886
2020-07-15,79.49677589473225,67.55172248743109,72.78988263085563
2020-07-16,79.41967098648405,67.33499086788777,72.67456241112608
2020-07-17,79.44819991251556,67.2603484508396,72.60777876485413
2020-07-18,79.18128545417716,67.15030566834363,72.4284627912772
2020-07-19,79.02344685151644,67.02412191535596,72.35726854447567
2020-07-20,79.0472777610763,66.75290986492128,72.19722926881116
2020-07-21,78.87855035068493,66.55729198261075,72.07931308667244
2020-07-22,78.49608631637945,66.44285078420809,71.89482551390745
2020-07-23,78.52983501433765,66.22729131509456,71.82422697704943
2020-07-24,78.23324699083429,66.08192964231121,71.62036695647865
2020-07-25,77.94409830810271,65.89578565493103,71.42653362522634
