date,max,min,average
2020-06-28,91.4126423275716,76.41017937904108,86.74232800926269
2020-06-29,90.32117869126688,76.0518225694194,85.93459942624429
2020-06-30,89.4097553053105,75.53604249067513,85.11256791557408
2020-07-01,88.40860427465046,75.25328192482806,84.41380465177978
2020-07-02,87.42413636017955,74.66213911568279,83.5604896681663
2020-07-03,86.40034844419174,74.07097528003013,82.67139774638319
2020-07-04,85.50304925701091,73.60343005652004,81.92035117773956
2020-07-05,84.8382445524658,73.14013225710264,81.32029335867172
2020-07-06,84.33308166909526,72.94595558488425,80.87024750327126
2020-07-07,83.99364550436464,72.61993637621,80.46993003996984
2020-07-08,83.28754181833786,72.28821404825013,79.77114521116316
2020-07-09,82.37364209208519,71.73293205006264,78.99038091004672
2020-07-10,81.70445099166558,71.30424868268045,78.40737109911358
2020-07-11,81.12162456317417,71.08413951866011,77.91037752275624
2020-07-12,80.6921895685605,70.70286390672159,77.38749652642089
2020-07-13,80.14777431306695,70.55096597880238,76.9767311653683
2020-07-14,79.59611260734265,70.08714258448487,76.40067725271787
2020-07-15,78.98245506544555,69.619850876498,75.77850984927235
2020-07-16,78.47379846321952,69.27282383187854,75.28443660271208
2020-07-17,78.17727435524135,68.9267810737428,74.93177189939776
2020-07-18,78.02109689719026,68.84668465756987,74.71989611249336
2020-07-19,78.0123619103678,68.6316568798579,74.54886951427777
2020-07-20,77.61963311376434,68.40792079048204,74.07082737217303
2020-07-21,77.00268975743533,67.95770120677496,73.50257626347776
2020-07-22,76.61489671606415,67.6312355949252,73.12415695394597
2020-07-23,76.2987251758197,67.5105765491775,72.82412655331801
2020-07-24,76.12197433143241,67.22605835450894,72.49086576089081
2020-07-25,75.81700445117792,67.16829805014768,72.26265138479783
2020-07-26,75.49224295930563,66.79606341893678,71.86234278526744
2020-07-27,75.0935977432665,66.41788062628417,71.40936874492812
