date,max,min,average
2020-06-28,92.17132599814931,71.27989503394788,83.92076989310083
2020-06-29,91.42643974773813,70.86554734290323,83.31593462661131
2020-06-30,90.82488487441404,70.58876382891998,82.91200099498705
2020-07-01,90.2044081805775,70.48481549797604,82.44854203575942
2020-07-02,89.71475122631132,70.19734734048808,82.02548230439322
2020-07-03,89.27089631044313,70.02025072411631,81.7305335988504
2020-07-04,89.10145278911722,69.89930755164508,81.5348483310264
2020-07-05,88.51463688489626,69.64154651022281,80.9874041842612
2020-07-06,87.79002035556614,69.42920196719655,80.57578120475742
2020-07-07,87.07411028713308,69.13909059361322,79.92134887897461
2020-07-08,86.07011360155957,68.81551705602357,79.28990852977627
2020-07-09,85.35031661119484,68.44242657288929,78.71027292907476
2020-07-10,85.086475183393,68.38627741689113,78.45052481675977
2020-07-11,84.53367050136579,68.00481114256989,77.94957578514247
2020-07-12,84.11898955975447,67.76053539968407,77.6475554695092
2020-07-13,83.68032034826822,67.68872544010698,77.2840743753862
2020-07-14,83.36754178648626,67.43303045190268,76.95909381467287
2020-07-15,83.09576980869825,67.2873459526791,76.76036164371884
2020-07-16,83.09374378344073,67.19745794801071,76.65906564801708
2020-07-17,82.66980642082594,66.97039918121425,76.2042182127198
2020-07-18,82.10365253691081,66.78840802971317,75.88343342681473
2020-07-19,81.5419089396673,66.52830512906253,75.31811417303481
2020-07-20,80.68789902717073,66.23439906527078,74.77409453628341
2020-07-21,80.11402243003074,65.89063893171894,74.28021942832402
2020-07-22,79.99214526162345,65.86348683197463,74.10460311852478
2020-07-23,79.57745596223785,65.5106881079335,73.68618812989429
2020-07-24,79.29714587568253,65.29475415367169,73.46513444100684
2020-07-25,78.9892045117622,65.25096392283169,73.18108232442282
2020-07-26,78.80360955778046,65.02297026318207,72.9340222937656
2020-07-27,78.65557303800124,64.90467231044849,72.81173085253444
