date,max,min,average
2020-06-28,93.45833936000028,71.62286937061405,84.38271350591165
2020-06-29,92.48267746126585,71.0602933106927,83.4089923183858
2020-06-30,91.82159151376258,70.580574159457,82.63072279858213
2020-07-01,90.93946530147484,70.2031467909173,81.79795488698123
2020-07-02,89.95179342742685,69.67405230701587,80.86932057193744
2020-07-03,89.32714290185271,69.2754655148831,80.23206319543769
2020-07-04,88.59241431524994,68.81173343064832,79.52798344714856
2020-07-05,88.2802881572634,68.65289074443875,79.05408925517847
2020-07-06,87.60492595942281,68.15912540120411,78.3036521187142
2020-07-07,86.43241116647741,67.62412849338472,77.2625864764899
2020-07-08,85.78649356303724,67.03700176748038,76.57365828151997
2020-07-09,85.0306110237373,66.64224202062819,75.8501807104826
2020-07-10,84.3953057534911,66.49607603632525,75.32272503487886
2020-07-11,83.7386400706602,66.05419301872685,74.67421535078081
2020-07-12,83.38532246656453,65.69232559956124,74.2094837520047
2020-07-13,82.80013191834267,65.42997554189711,73.67899920641678
2020-07-14,82.09894431235827,65.01324926205801,73.04179768862012
2020-07-15,81.75069452196063,64.72438534394902,72.6855120256207
2020-07-16,81.28263805289677,64.36779307906528,72.25231841140092
2020-07-17,81.22779781792805,64.31356796683653,72.03958679952434
2020-07-18,80.80066571925963,63.92195732996532,71.54093771960062
2020-07-19,79.86764394409099,63.48671024079599,70.74262211221584
2020-07-20,79.45278980054186,62.996985060791246,70.28773035338273
2020-07-21,78.91983786269519,62.697333869242975,69.78988839749921
2020-07-22,78.49961659183052,62.644037430371284,69.47996906651872
2020-07-23,78.05046448716429,62.2928376582606,69.04118718270512
2020-07-24,77.8973564999928,62.019518653690966,68.77865513034655
2020-07-25,77.50532868870337,61.843632437117776,68.44311210665516
2020-07-26,76.99050497228853,61.511334499110774,67.99385461560158
2020-07-27,76.8220595265956,61.30491134253377,67.81876666176514
