date,max,min,average
2020-06-23,86.17559068351501,57.26792907881456,62.43485534432325
2020-06-24,85.4932158709711,57.21331019040938,62.32174520665349
2020-06-25,84.63814477139873,56.644576943871634,61.86616039905104
2020-06-26,83.79253890935439,56.45647786569578,61.40484609718772
2020-06-27,83.0389216159591,56.08258281616561,61.047395435456544
2020-06-28,82.13685784015652,55.580394302429674,60.52878371991011
2020-06-29,81.63033402903345,55.263725507596256,60.38249481988039
2020-06-30,81.05859447914199,55.10130769324069,60.119884366733764
2020-07-01,80.41320926524911,54.73756969536497,59.797464728524105
2020-07-02,79.55529903971436,54.362097081340245,59.38061789913779
2020-07-03,78.87118423349094,54.0363981588564,59.03095494911679
2020-07-04,78.24399508727059,53.61754960475,58.63832980301582
2020-07-05,77.637993932507,53.29125646190075,58.35486354217287
2020-07-06,77.17059448136142,53.29424062792941,58.32330167034882
2020-07-07,76.52508569694544,52.78227604179821,57.9476351940273
2020-07-08,75.88376540347994,52.65012331639873,57.56464186696939
2020-07-09,75.329289799746,52.33136422333757,57.283946750507354
2020-07-10,74.62135335676021,51.88351300854771,56.840556439497874
2020-07-11,74.30406878233664,51.62039442388277,56.767985466696345
2020-07-12,73.91680345452912,51.51075113208736,56.57761951401169
2020-07-13,73.45124743043327,51.1990232051841,56.326000399409345
2020-07-14,72.76863832360083,50.874807283808316,55.9785389780612
2020-07-15,72.25541058111254,50.59962258851516,55.69687460493388
2020-07-16,71.7948055888793,50.23055655093104,55.37088892367575
2020-07-17,71.35119402495452,49.953324812939826,55.1527301806869
2020-07-18,71.04209521994865,50.00465971763722,55.185170501832545
2020-07-19,70.55090109596638,49.5403454981553,54.87222698359492
2020-07-20,70.0600098437301,49.45515291244193,54.55070294826358
2020-07-21,69.65217550130951,49.18267373020645,54.33024851465193
2020-07-22,69.08718791543178,48.78043205065962,53.94589483426475
